Username,Posted At,Post Content,Image URLs,Video URLs,Tag
MuhammadSmiry,2023-10-28T13:48:20.000Z,This might be my last tweet. Peace. #Gaza,,,Palestine
MuhammadSmiry,2022-12-04T23:04:04.000Z,A British fan screaming “Free Palestine” to an lsraeli reporter in Qatar.,,,Palestine
MuhammadSmiry,2023-10-29T02:41:30.000Z,"Hey, we finally have internet! #Gaza",,,Palestine
MuhammadSmiry,2023-10-26T10:17:46.000Z,The last selfie with my students in Gaza when there used to be life.,https://pbs.twimg.com/media/F9W8AFjWUAANAf4?format=jpg&name=900x900,,Palestine
MuhammadSmiry,2023-10-28T13:29:32.000Z,I am still alive. #Gaza,,,Palestine
MuhammadSmiry,2024-05-31T09:20:29.000Z,NO ONE IS TALKING ABOUT SUDAN! https://t.co/vaKxZIs3VJ,,,Palestine
MuhammadSmiry,2023-11-07T16:22:02.000Z,This is me having falafel with my students in Gaza a year ago,https://pbs.twimg.com/media/F-WCbxLWgAEjYUc?format=jpg&name=900x900,,Palestine
MuhammadSmiry,2023-10-28T20:20:55.000Z,I can’t believe we are going through this. There’s literally no life left in Gaza.,,,Palestine
MuhammadSmiry,2020-11-21T07:04:28.000Z,Good morning from the capital of Palestine,https://pbs.twimg.com/media/EnVEUQqXMAArioQ?format=jpg&name=900x900,,Palestine
MuhammadSmiry,2024-01-16T07:04:43.000Z,My friend made us some potatoes | Gaza,https://pbs.twimg.com/media/GD8iQVuXcAAR0Pq?format=jpg&name=900x900,,Palestine
